_id,label,_type,hasRating,birthCountry,graduatedFrom,hasAlumni
http://dbpedia.org/resource/Giannis_Antetokounmpo,Giannis Antetokounmpo,Person,97.0,http://dbpedia.org/resource/Greece,,
http://dbpedia.org/resource/Jayson_Tatum,Jayson Tatum,Person,95.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Duke_University,
http://dbpedia.org/resource/Kawhi_Leonard,Kawhi Leonard,Person,95.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/San_Diego_State_University,
http://dbpedia.org/resource/Joel_Embiid,Joel Embiid,Person,96.0,http://dbpedia.org/resource/Cameroon,http://dbpedia.org/resource/Kansas_University,
http://dbpedia.org/resource/Jimmy_Butler,Jimmy Butler,Person,93.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Marquette_University,
http://dbpedia.org/resource/LeBron_James,LeBron James,Person,96.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/St._Vincent–St._Mary_High_School,
http://dbpedia.org/resource/Ja_Morant,Ja Morant,Person,94.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Murray_State_University,
http://dbpedia.org/resource/Nikola_Jokic,Nikola Jokic,Person,96.0,http://dbpedia.org/resource/Serbia,,
http://dbpedia.org/resource/Trae_Young,Trae Young,Person,89.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Oklahoma_University,
http://dbpedia.org/resource/Luka_Doncic,Luka Doncic,Person,96.0,http://dbpedia.org/resource/Slovenia,,
http://dbpedia.org/resource/James_Harden,James Harden,Person,89.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Arizona_State_University,
http://dbpedia.org/resource/Devin_Booker,Devin Booker,Person,91.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Kentucky_University,
http://dbpedia.org/resource/Kevin_Durant,Kevin Durant,Person,96.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Texas_University,
http://dbpedia.org/resource/Anthony_Davis,Anthony Davis,Person,91.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Kentucky_University,
http://dbpedia.org/resource/Chris_Paul,Chris Paul,Person,89.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Wake_Forest_University,
http://dbpedia.org/resource/Kyrie_Irving,Kyrie Irving,Person,89.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Duke_University,
http://dbpedia.org/resource/DeMar_DeRozan,DeMar DeRozan,Person,88.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/USC,
http://dbpedia.org/resource/Stephen_Curry,Stephen Curry,Person,97.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Davidson_University,
http://dbpedia.org/resource/Zach_LaVine,Zach LaVine,Person,87.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/UCLA,
http://dbpedia.org/resource/Donovan_Mitchell,Donovan Mitchell,Person,91.0,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Louisville_University,
http://dbpedia.org/resource/Karl-Anthony_Towns,Karl-Anthony Towns,Person,87.0,http://dbpedia.org/resource/Dominican_Republic,http://dbpedia.org/resource/Kentucky_University,
http://dbpedia.org/resource/Rudy_Gobert,Rudy Gobert,Person,86.0,http://dbpedia.org/resource/France,,
